id,profileName,text,date,title,rating,images,helpful,Colour
R3QHAF039ORFVN,Niyasudeen,Looking nice and working also good,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 4 January 2022,Nice Product,4,,0,Grey Dazzle
R1V2JZNX6UU847,Suraj Kumar,Pros1. Easy to operate.2. Lightweight.3. dryer is good.4. electricity efficiency.5. Low noise.Cons1. Shake too much while drying.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 27 May 2022,Easy to use,5,,0,Grey Dazzle
R2TBLEZ0V96R9S,SIBANANDA MAHARANA,Brand speaks for itself,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 4 September 2022,Loved it,5,,0,Grey Dazzle
R1Y4HATBYOQ74U,My washing machine not working,I need need refund,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 14 April 2023,Washing machine not working,1,https://m.media-amazon.com/images/I/617GUOXbX6L.jpg,1,Grey Dazzle
RNUR63AJMTX2Y,Vishal kumar,¬†easy to use,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 20 October 2022,very nice product..Delivery was also very good without any kind of damages to the product..,5,,0,Grey Dazzle
R3K76ZNI5O6C3X,Amazon Customer,"Very good product,,, easy to use,, but there is no buzzer on/off switch,,",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 15 November 2021,Very good,4,,0,Grey Dazzle
RRRXYVRY28BBS,Vinod,Very good product thanks Amazon,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 6 January 2022,"It works very well, I would say in this machine that you must also buy it once.",4,"https://m.media-amazon.com/images/I/71AJJkL7xtL.jpg
https://m.media-amazon.com/images/I/71Cwk5XegcL.jpg
https://m.media-amazon.com/images/I/71kJA1UumQL.jpg",0,Grey Dazzle
R1N0PGS7Q716QW,govind singh bora,low quality products,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 19 January 2022,good work,4,,0,Grey Dazzle
R31SL5GM1U6AXJ,Prasso_07,Easy to use and trust on Whirlpool continues !!,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 4 August 2022,The best washing machine in the segment,5,,0,Grey Dazzle
R3CHQW27FE4E71,Narendra,"This is the second washing machine I am using from Whirlpool, both semi automatic and neither of them.dissappointed me. Easy to move, easy to operate and very user friendly. It's been over 3 years I purchased my first whirlpool washing machine and no troubles so far and hope this one lasts long too. Overall very happy with the exp.",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 31 May 2021,Trust the brand.,5,,0,Grey Dazzle
R3E91E90HEAXIL,Narendra,Really a good product. Even design and color also so good. Happy with the product.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 13 July 2022,Good product go for it,5,"https://m.media-amazon.com/images/I/51x5pf9wRiL.jpg
https://m.media-amazon.com/images/I/613354y8tmL.jpg
https://m.media-amazon.com/images/I/61HDkEiY7uL.jpg
https://m.media-amazon.com/images/I/61dKTsp5gDL.jpg",2,Grey Dazzle
R3KVHH2C6G822V,Vivek chaturvedi,I am having issue in Washer section. It is intermittent working in one month only. I have raised complaint but from last 10 days no service Engineer have visited for attending complaint. Call centre person response is very poor and ridiculous. Worst service of Whirlpool.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 4 August 2020,Worst Response of Service and Customer Care Team,4,,0,Grey Dazzle
R3EBYYGE8EA2IR,Abhay Nayak,"Bought it over a year ago, no issues yet. Works well, looks good, cleans well. Good for the price",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 9 June 2022,Good quality product,5,,0,Grey Dazzle
R3VL698DTOIPSU,Prashant,Value for money.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 28 August 2022,Value for money.,5,,0,Grey Dazzle
R2KSQQODQCUIP,Manikandan Ravi,Back side panels look very worst. Finishing not perfect.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 30 April 2022,Finishing not good,3,,0,Grey Dazzle
RLIO8QJ2R4J8I,Navin,"It is easy to use machine. Handles cleaning pretty well too. Although my clothes are usually not stained. I have an LG automatic as well but the agitator hardly moves..so there's point of washing in it..it's just like soaking clothes in water. Hence i got semi automatic. This does w better job than my LG automatic machine. That said, post washing the water doesn't drain completely. I mean whatever little water is left around the agitator it stays there which i feel shouldn't happen. Also i don't see anything in the filter which is supposed to filter all the lint. Infact my black jacket and black trouser got all the lint after washing. Idk how that happened. Overall it's still a good experience except the lint part",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 6 February 2020,Good machine,3,,2,Grey Dazzle
R14S61IXMTTYDR,SARAVANAN,Good product,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 29 August 2022,Easy to use,5,,0,Grey Dazzle
RJKXIBLN6ZU5J,surya,"Best washing machine in this segment ,Value for money.....",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 19 July 2022,Power pack by whirlpool,5,,0,Grey Dazzle
R13NQ9F5YPV7F8,Om Bihari,Good,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 5 September 2022,Good,5,,0,Grey Dazzle
R3H2IKW16RCU06,Amazon Customer,It's ok,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 2 June 2022,It's ok,3,,0,Grey Dazzle
R3U191CCY6PPSF,Karthikeyan,Easy to use and good service,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 9 August 2022,Good condition,5,,0,Grey Dazzle
RFNVAMPCIM0K,Kei,"Review after approx. 20 days of usageQuite lightweight hence easy to move around with.Dry the clothes quickly because of the high RPM of drier.As far as the problem of two separate water inlet in washing and drier drum, is concerned I have no issue with it because I usually wash all my clothes first and then rinse them separately.Still they could've provide two water inlet pipe instead of just one.Overall good experience no issue faced till date.",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 1 August 2020,Awesome,5,,4,Grey Dazzle
R7NN5GSQJJLCZ,Amazon Customer,"Service from whirlpool is worst, and product is average  , and they don't do installation after multiple calls.",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 8 February 2022,Average product with worst service.,3,,1,Grey Dazzle
R12R9B3X4D7EM6,Pramod rajak,¬†Good product.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 15 February 2022,Easy to use.,4,https://m.media-amazon.com/images/I/813V-vi9+oL.jpg,1,Grey Dazzle
R2NHDZSLAERS08,PRABHAT KUMAR,I got this product in 8K it was a good deal.Pros :Compact designLow enegy consumptionConsDue to 4 wheels it moves while dryingLow motor speed for washing which takes longer time to clean the dirt.Overall product is good for small family. You can purchase at this price.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 27 June 2021,Best product in this price range,5,,0,Grey Dazzle
R2WY0TAS38VOWB,Jhazeb Hussain,"Haven't used this product much still machine is not working, unable to contact the dealer Or support to get it repaired... Product is in warranty still it's a struggle",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 2 March 2023,Pathetic product,1,,2,Grey Dazzle
R68B3LTCQ8FPG,Aanand Keerthy,It's a value for money washing machine from a great brand. Forget everything else,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 1 July 2022,Value for money. That's it,5,,0,Grey Dazzle
R1HPQKXG8QDSBV,Vicky,Poor preforming,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 30 May 2022,Ok,3,,0,Grey Dazzle
RVW4Z4R29PKK4,Sanaullah,Good,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 3 January 2022,Good,4,,0,Grey Dazzle
R1KQ5N6MJKO0RD,Don't buy,Machine is really good easy to use..Recommend for you if you are searching a washing machine under 10000.Hardly I give 5 Star but its really deserve 5 Star rating.And service of whirlpool is really very good although it doesn't need installation but a person is come for demo.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 27 July 2021,Nice product.,5,,0,Grey Dazzle
R1CMVSJF4K5QOZ,TARIQ AZIZ,"Reading all the reviews on amazon caused so much confusion but thought of going ahead and ordered this machine from Amazon.Not disappointed. Machine is good,working smoothly. Sometimes,some sellers may sell faulty machines or machines may get damaged during transit, but otherwise,great service amazon.",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 16 July 2020,Great for nuclear families,4,,0,Grey Dazzle
R1BN53BXRJ8HQQ,Abuthahir,Good wash,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 17 August 2022,Super design,5,,0,Grey Dazzle
RTFBQIORCVQDP,Sarika,Lite weight.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 28 December 2021,Overall nice product.,4,,0,Grey Dazzle
R1ULB4GZWMC4KQ,Mohit kumar,Good product,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 22 December 2021,Small in size and light weight.,4,https://m.media-amazon.com/images/I/71+s8ZtNz4L.jpg,0,Grey Dazzle
RNAR174N793TD,Sanjay kumar,"Value of money, I am happy with this",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 8 July 2022,Overall goodÅEÅEÅEÅE,5,,0,Grey Dazzle
R11NMH8IMGABCY,Vijay kumar,Excellent experience value for money,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 26 July 2022,Excellent value for money,5,,0,Grey Dazzle
R1G5RKTV3TOU7O,anshul,"Nice product in affordable price I will rate it 4.5 star, just need to have a look into vibration for a company",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 5 June 2021,Great product in affordable price,4,https://images-na.ssl-images-amazon.com/images/I/81tRR7v2tjL.jpg,0,Grey Dazzle
R3D4PTKINZZ9CC,Manoj Kumar,Working normal,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 9 August 2022,Good,5,,0,Grey Dazzle
R2ILI858QEUXUE,Shiva ,Nice product,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 6 August 2022,Very  happy ÅEÅEÅEÅE,5,,0,Grey Dazzle
R3J5C5F4G0ESX8,sachin bhadola,Value for money,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 4 August 2022,Good,5,,0,Grey Dazzle
R2J0DI4PJDY9I6,Krishna kant Singh,Product is awesome must buy... Just a small issue with Drain pipe. The pipe is too small that it can't be hanged at the clamp post use.@Whirlpoool please check this review and try to work on this advise.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 13 August 2020,Must Buy Product.. just small length of Drain pipe,4,https://images-na.ssl-images-amazon.com/images/I/51zD1Y9U7XL.jpg,1,Grey Dazzle
R1PEZOY9ERTV3U,AmazonCustomer,Nothing amazing but it works very well.Good option in semi automatic machine.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 7 June 2022,Excellent,5,,0,Grey Dazzle
R2WP58QB727CYW,Sachin Rathore,"Very Poor Quality. Body Plastic very weak. Burning Smell in the spinner within 1 and half months of use.I must say that this is a 'Maruti Car' of Washing Machines. As the Maruti has reduced the weight of its car to increase the mileage, the makers of this machine has reduced too much weight of this machine to keep it low priced.The plastic used is so thin that the outer body of the machine can be pressed easily with your hand. The machine slips from its position when spinner is working.  You place it at one place and you will find it 2 feet ahead.Just used it for one day with few clothes. washing is satisfactory.",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 3 October 2022,Very Poor Quality,1,,4,Grey Dazzle
REIN6TKX9DSLZ,Bhuwnesh Bhatt,Small family ke liye thik hai kuch bhi dholo!,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 18 June 2022,For small family,5,,0,Grey Dazzle
R2JKRZHAUOM1SA,Pankaj,Best collty,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 3 August 2022,Good ÅEÅEÅEÅE,5,,0,Grey Dazzle
R3LWN3SZ6GCQL3,Narendra tada,Good,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 16 August 2022,Compact product,5,,0,Grey Dazzle
RLX8M7DQ1MTA1,Rajveer Singh,Good,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 16 August 2022,Nice,5,,0,Grey Dazzle
R2MTVVAOI74OVT,Akshu K.,Good product,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 2 August 2022,Good product,5,,1,Grey Dazzle
R3S7R8UMJ0NBS7,deepak prajapati,Good,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 5 December 2021,Good,4,,0,Grey Dazzle
R3CGJ891Q8SMOX,Rohit K.,"Easy to use, dry the cloths in less time",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 20 June 2022,Good product,5,,0,Grey Dazzle
R3FPE6USQJ8U37,divyangparihar,Good,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 7 August 2022,Good,5,,0,Grey Dazzle
R3N6OWOJG9XQ0K,Deepak Aswal,First of all i am writing this review after three months of usage of the washing machine.The machine is lightweighted and works very well for washing as well as for drying the clothes. This is the value for money and very simple to use. You can easily transfer the machine from one room to another.I bought this machine afyer reviewing the number of machines in the market.Go for it. You will not be dissappointed.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 7 March 2020,Very nice machine,5,,3,Grey Dazzle
R132250II49Y66,Vignesh Muthaiah,"Nice product , easy to use , so far good, high recommend for small family, use the twice in a week is good",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 26 March 2022,Good,5,,0,Grey Dazzle
R1SP13CRURORAA,SARAFARAZKHAN,Product is awesome but only one problem is there they should give switch to convert water flow in washing and drier department.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 28 April 2021,Good product with one little but Very important lack,4,,0,Grey Dazzle
R381J8IZ35K2U4,Ash,So it has been over 2 months since i have brought this machine and have been using it.Overall the look of machine is very cool.Settings and functions are basic but as promised. The only con in this machine is the material used outside its very light weight but the quality of plastic is not good. Overall a good buy in this budget,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 2 October 2020,In the budget under 10k its a good product,3,,1,Grey Dazzle
R363X63KMECBZZ,Vimal Dhasmana,Good product. I have bought it based on 1st washing machine performance. I am using wirlpool washing machine 2nd time. 1st time i have used this product for about 18 years.Hope this time it works too.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 25 July 2020,Very good,4,,0,Grey Dazzle
R2ZUXWQ882EC0L,Subodh,It's a very nice and powerful washing machine for a family of max 4 members. Only reason for giving 4 stars is that dryer is little bit smaller in size as compare to washer.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 20 September 2020,Good product for a small family.,4,,0,Grey Dazzle
R14GZJDKBVVBLC,Paramasivam,One of the best semi automatic washing machineGood quality in 10000 price range,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 3 May 2022,Best washing machine,5,,0,Grey Dazzle
RZDA9Y316AI2E,Vinit vartak,"Good product,easy to use,light weight but solid. Only cons are due to its light weight sometimes it moves a little bit on tiles while washing.I recommend to keep rubber Matt underneath so that it doesn't move",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 14 August 2020,Worth buying,4,"https://images-na.ssl-images-amazon.com/images/I/71K7FbShnFL.jpg
https://images-na.ssl-images-amazon.com/images/I/71naC2hdHZL.jpg",0,Grey Dazzle
R3DT18L72ELGKF,naren,I like,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 19 July 2022,Best for home,5,,0,Grey Dazzle
R2DVDH76C6TJWV,TONMOY MAITY,My wife cool now,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 9 July 2022,Excellent,5,,0,Grey Dazzle
R1SS4I71B0SL7T,Chsk,Machine is working wellWont be satisfied for white clothes.If u spend 1000 or 1500 u will get better machine in samsung only with inbuilt scrubber and powerful motor.Better to buy 7.5kg,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 30 December 2021,Dont go after reviews,5,,0,Grey Dazzle
R27KWBW3QW84Q0,Abijith,"5 star rated,Easy to use,compact semi auto washing machine. Good colour and user friendly operating panel. Good service and delivery. Drawback observed was we have to switch the water hose between wash and drain station,instead of a button.",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 21 July 2020,Good performing semi auto machine in budget,4,,0,Grey Dazzle
R17MGUWYHF9JF4,Prince,Good,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 26 July 2022,Good,5,,0,Grey Dazzle
RQ2P9TVFUC52K,Sibichandran,Very good product,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 9 November 2021,Very good,4,,0,Grey Dazzle
RZN0MPM7WDM62,dawson,It's is very light and easy to use. Easily movable from one place to another coz of wheels. Got it on same as mention on delivery. Two people came as well from company for demo. Overall value for money . This review I am putting after 1 month use. ÅEÅE§ÅEÅE§,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 12 May 2021,Value for money ÅEÅEÅE∞,5,"https://images-na.ssl-images-amazon.com/images/I/61HSLC8wZwL.jpg
https://images-na.ssl-images-amazon.com/images/I/61HZpUfLu0L.jpg
https://images-na.ssl-images-amazon.com/images/I/61nZ9xOdgVL.jpg",0,Grey Dazzle
RWQRA4RG51ENN,Samir Kumar Sukla,i have been using this for almost a month and it seems to be working fine. I haven't faced any issue with this washing machine.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 10 February 2021,Best Product So far,4,,0,Grey Dazzle
R3O63R46X8S45Q,gautam kumar,Very nice and easy to use this product,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 23 February 2022,Easy to use and quality products,3,,0,Grey Dazzle
R2VSXOJVSYW4CZ,Rehana,"Overall good washing machine. but plastic boddy is little soft and sometimes feel it will be damaged easily. works good, spiner is also working good and fast.go for it. good choice if you buy it.",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 24 July 2020,Nice Product in this price.,4,,0,Grey Dazzle
R3EZSCDE39VOX,Shubham Kumar,Very good product,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 26 June 2022,Brilliant,5,,0,Grey Dazzle
R2G1YUKYU01B0B,Harekrishna,I had given 1* earlier but now giving 4* only for support got from whirlpool.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 28 June 2021,Moderate,4,,0,Grey Dazzle
R1CEHB1GAC0GYS,Prameela a paragon ,This washing machine of 7kg is very good product. Since it washes upto load of 7kg it has a wide washing drum and it is best suitable for a family of more members. It is working superb without much noise.I like the product.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 17 July 2021,7kg washing machine best for big washing.,5,,0,Grey Dazzle
R3AJLNB2QR4STR,Dibyendu Ghosh,"Very good product & excellent service. Powerful motor and easy installation . company person completed the installation . zero hassels. very sturdy product and durable. best washing ,machine",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 2 February 2022,Very good product & excellent service. Powerful motor,5,,0,Grey Dazzle
R2452U80NBOMP1,Priyatosh Das,I got a faulty product at first then I contact whirlpool service centre then a guy repair it.i don't know how it will work but I think it may be not bad and create any problem in future.,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 22 May 2020,Nice,4,https://images-na.ssl-images-amazon.com/images/I/71TKD0bE4FL.jpg,0,Grey Dazzle
R2Q4I8F3UV82Y3,Puneet Singh,Till now it working fine but in spin it take a lot of noise and movement at the time of start and end...else overall it's fine and working well,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 2 November 2020,Overall all is good but can be best,4,,0,Grey Dazzle
R2NJFLNE1YN3JW,Ranjan Satapathy,Good one,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 29 June 2022,Good one,5,,0,Grey Dazzle
R1DQ5SPGRDB2HH,Ghulam Mustafa,This product too bad do not buy,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 11 March 2023,Do not buy this product,1,,1,Grey Dazzle
R1G1IO5LB5S2E5,Shital bhandari,¬†afeter uising 14-15day in running time unwanted sound creat,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 16 July 2022,afeter uising 14-15day in running time unwanted sound creat,5,,1,Grey Dazzle
R3C5PR0NJL83R1,Lokeshkumar,Good,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 10 July 2022,Good,5,,0,Grey Dazzle
R2CSVWOSXL81MN,Upendra,"Everything i like in it...... money wise it's cheap,very easy to use and yes very powerful.I am so confident that even a person who never used a semi automatic washing machine,can use it without any hustle.",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 22 September 2021,Must buy,5,,0,Grey Dazzle
R1IGTJF9XSIKO3,Sukrita dutt,Good,Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 3 July 2022,Good,5,,0,Grey Dazzle
R1UJ5W1JVMBUGX,ISMAIL QAZI,"Each and everything is perfect as described. Machine performance is perfect, quality is perfect, overall a best product for the family of 3-4 members.No damages, on time delivery",Reviewed in India ÅEÅEÅEÆÅEÅEÅE≥ on 15 September 2020,Perfect as described,4,,0,Grey Dazzle
